"WAR","Year","above_threshold"
0.1,1996,TRUE
0.1,1996,TRUE
0,2000,FALSE
0,2000,FALSE
0,1999,FALSE
0,1999,FALSE
0,1999,FALSE
0,1999,FALSE
0,1998,FALSE
0,1997,FALSE
0,1997,FALSE
0,1996,FALSE
0,1996,FALSE
-0.1,2000,FALSE
-0.1,1999,FALSE
-0.1,1999,FALSE
-0.1,1998,FALSE
-0.1,1996,FALSE
-0.2,2000,FALSE
-0.2,2000,FALSE
-0.2,2000,FALSE
-0.2,1999,FALSE
-0.2,1999,FALSE
-0.2,1999,FALSE
-0.2,1999,FALSE
-0.2,1998,FALSE
-0.2,1997,FALSE
-0.2,1996,FALSE
-0.3,2000,FALSE
-0.3,1999,FALSE
-0.3,1999,FALSE
-0.3,1999,FALSE
-0.3,1998,FALSE
-0.3,1998,FALSE
-0.3,1997,FALSE
-0.3,1997,FALSE
-0.3,1997,FALSE
-0.4,2000,FALSE
-0.4,1999,FALSE
-0.4,1998,FALSE
-0.4,1997,FALSE
-0.4,1997,FALSE
-0.4,1997,FALSE
-0.4,1996,FALSE
-0.4,1996,FALSE
-0.5,2000,FALSE
-0.5,1999,FALSE
-0.5,1998,FALSE
-0.5,1998,FALSE
-0.5,1998,FALSE
-0.5,1997,FALSE
-0.5,1996,FALSE
-0.6,1999,FALSE
-0.6,1999,FALSE
-0.6,1998,FALSE
-0.6,1998,FALSE
-0.6,1997,FALSE
-0.6,1997,FALSE
-0.7,2000,FALSE
-0.7,2000,FALSE
-0.7,1998,FALSE
-0.7,1998,FALSE
-0.7,1996,FALSE
-0.8,2000,FALSE
-0.8,2000,FALSE
-0.8,2000,FALSE
-0.8,2000,FALSE
-0.8,2000,FALSE
-0.8,1999,FALSE
-0.8,1998,FALSE
-0.8,1996,FALSE
-0.9,1999,FALSE
-0.9,1998,FALSE
-0.9,1998,FALSE
-0.9,1998,FALSE
-0.9,1998,FALSE
-1,2000,FALSE
-1,1998,FALSE
-1,1998,FALSE
-1,1998,FALSE
-1,1997,FALSE
-1.1,1998,FALSE
-1.1,1998,FALSE
-1.1,1997,FALSE
-1.1,1997,FALSE
-1.1,1996,FALSE
-1.1,1996,FALSE
-1.1,1996,FALSE
-1.2,2000,FALSE
-1.2,2000,FALSE
-1.2,1997,FALSE
-1.2,1997,FALSE
-1.4,1996,FALSE
-1.8,1996,FALSE
-1.9,1998,FALSE
-2,1998,FALSE
-2,1996,FALSE
-2.4,1999,FALSE
-2.8,1999,FALSE
2.8,2001,TRUE
2.4,2005,TRUE
2.1,2001,TRUE
1.8,2005,TRUE
1.7,2003,TRUE
1.7,2003,TRUE
1.6,2002,TRUE
1.5,2005,TRUE
1.3,2004,TRUE
1.3,2002,TRUE
1.3,2001,TRUE
1.1,2003,TRUE
0.9,2005,TRUE
0.9,2001,TRUE
0.8,2005,TRUE
0.8,2003,TRUE
0.8,2001,TRUE
0.8,2001,TRUE
0.7,2005,TRUE
0.7,2004,TRUE
0.7,2004,TRUE
0.7,2003,TRUE
0.7,2002,TRUE
0.7,2002,TRUE
0.7,2002,TRUE
0.6,2005,TRUE
0.6,2002,TRUE
0.6,2001,TRUE
0.5,2004,TRUE
0.5,2002,TRUE
0.5,2001,TRUE
0.5,2001,TRUE
0.5,2001,TRUE
0.4,2004,TRUE
0.4,2004,TRUE
0.4,2002,TRUE
0.4,2002,TRUE
0.3,2005,FALSE
0.3,2005,FALSE
0.3,2005,FALSE
0.3,2003,FALSE
0.3,2003,FALSE
0.3,2003,FALSE
0.3,2002,TRUE
0.3,2002,TRUE
0.3,2001,TRUE
0.3,2001,TRUE
0.3,2001,TRUE
0.3,2001,TRUE
0.2,2005,FALSE
0.2,2004,FALSE
0.2,2003,FALSE
0.2,2003,FALSE
0.2,2001,TRUE
0.1,2005,FALSE
0.1,2004,FALSE
0.1,2004,FALSE
0.1,2003,FALSE
0.1,2003,FALSE
0.1,2001,FALSE
0.1,2001,FALSE
0,2002,FALSE
0,2002,FALSE
0,2001,FALSE
0,2001,FALSE
0,2001,FALSE
-0.1,2005,FALSE
-0.1,2005,FALSE
-0.1,2004,FALSE
-0.1,2003,FALSE
-0.1,2003,FALSE
-0.1,2003,FALSE
-0.1,2003,FALSE
-0.1,2002,FALSE
-0.1,2002,FALSE
-0.1,2001,FALSE
-0.1,2001,FALSE
-0.1,2001,FALSE
-0.1,2001,FALSE
-0.2,2005,FALSE
-0.2,2005,FALSE
-0.2,2004,FALSE
-0.2,2004,FALSE
-0.2,2004,FALSE
-0.2,2003,FALSE
-0.2,2002,FALSE
-0.2,2002,FALSE
-0.2,2002,FALSE
-0.2,2002,FALSE
-0.2,2002,FALSE
-0.2,2002,FALSE
-0.3,2005,FALSE
-0.3,2005,FALSE
-0.3,2004,FALSE
-0.3,2004,FALSE
-0.3,2004,FALSE
-0.3,2004,FALSE
-0.3,2004,FALSE
-0.3,2003,FALSE
-0.3,2003,FALSE
-0.3,2003,FALSE
-0.3,2002,FALSE
-0.3,2001,FALSE
-0.3,2001,FALSE
-0.3,2001,FALSE
-0.3,2001,FALSE
-0.3,2001,FALSE
-0.3,2001,FALSE
-0.3,2001,FALSE
-0.4,2005,FALSE
-0.4,2005,FALSE
-0.4,2005,FALSE
-0.4,2005,FALSE
-0.4,2005,FALSE
-0.4,2004,FALSE
-0.4,2004,FALSE
-0.4,2004,FALSE
-0.4,2003,FALSE
-0.4,2003,FALSE
-0.4,2003,FALSE
-0.4,2003,FALSE
-0.4,2003,FALSE
-0.4,2002,FALSE
-0.4,2002,FALSE
-0.4,2002,FALSE
-0.4,2001,FALSE
-0.4,2001,FALSE
-0.4,2001,FALSE
-0.4,2001,FALSE
-0.4,2001,FALSE
-0.5,2005,FALSE
-0.5,2005,FALSE
-0.5,2003,FALSE
-0.5,2003,FALSE
-0.5,2002,FALSE
-0.5,2001,FALSE
-0.5,2001,FALSE
-0.5,2001,FALSE
-0.6,2005,FALSE
-0.6,2004,FALSE
-0.6,2003,FALSE
-0.6,2003,FALSE
-0.6,2003,FALSE
-0.6,2001,FALSE
-0.7,2004,FALSE
-0.7,2004,FALSE
-0.7,2004,FALSE
-0.7,2004,FALSE
-0.7,2004,FALSE
-0.7,2004,FALSE
-0.7,2003,FALSE
-0.7,2003,FALSE
-0.7,2001,FALSE
-0.7,2001,FALSE
-0.8,2004,FALSE
-0.8,2004,FALSE
-0.8,2004,FALSE
-0.8,2004,FALSE
-0.9,2005,FALSE
-0.9,2004,FALSE
-0.9,2003,FALSE
-0.9,2002,FALSE
-1,2005,FALSE
-1,2004,FALSE
-1,2002,FALSE
-1,2001,FALSE
-1,2001,FALSE
-1,2001,FALSE
-1.1,2005,FALSE
-1.1,2003,FALSE
-1.1,2003,FALSE
-1.1,2002,FALSE
-1.2,2004,FALSE
-1.2,2004,FALSE
-1.2,2003,FALSE
-1.2,2002,FALSE
-1.2,2001,FALSE
-1.2,2001,FALSE
-1.4,2001,FALSE
-1.5,2004,FALSE
-1.5,2004,FALSE
-1.5,2002,FALSE
-1.7,2003,FALSE
-1.7,2001,FALSE
-2.1,2005,FALSE
-2.2,2005,FALSE
3.4,2007,TRUE
2.6,2007,TRUE
2.3,2009,TRUE
1.9,2010,TRUE
1.5,2008,TRUE
1.4,2010,TRUE
1.3,2006,TRUE
1.1,2006,TRUE
1,2009,TRUE
1,2009,TRUE
1,2006,TRUE
0.8,2009,TRUE
0.8,2007,TRUE
0.8,2007,TRUE
0.7,2006,TRUE
0.6,2010,TRUE
0.6,2007,TRUE
0.6,2007,TRUE
0.5,2010,TRUE
0.5,2006,TRUE
0.5,2006,TRUE
0.4,2008,TRUE
0.4,2007,FALSE
0.4,2006,TRUE
0.4,2006,TRUE
0.3,2010,FALSE
0.3,2009,FALSE
0.3,2008,FALSE
0.3,2007,FALSE
0.3,2007,FALSE
0.3,2006,FALSE
0.2,2010,FALSE
0.2,2010,FALSE
0.2,2009,FALSE
0.2,2009,FALSE
0.2,2008,FALSE
0.2,2007,FALSE
0.2,2007,FALSE
0.2,2006,FALSE
0.2,2006,FALSE
0.1,2010,FALSE
0.1,2008,FALSE
0.1,2008,FALSE
0.1,2008,FALSE
0.1,2007,FALSE
0.1,2007,FALSE
0.1,2007,FALSE
0.1,2007,FALSE
0,2010,FALSE
0,2010,FALSE
0,2009,FALSE
0,2008,FALSE
0,2008,FALSE
0,2008,FALSE
0,2008,FALSE
0,2008,FALSE
0,2008,FALSE
0,2008,FALSE
0,2007,FALSE
0,2007,FALSE
0,2006,FALSE
0,2006,FALSE
-0.1,2010,FALSE
-0.1,2010,FALSE
-0.1,2008,FALSE
-0.1,2007,FALSE
-0.1,2007,FALSE
-0.1,2007,FALSE
-0.1,2007,FALSE
-0.1,2006,FALSE
-0.1,2006,FALSE
-0.1,2006,FALSE
-0.1,2006,FALSE
-0.1,2006,FALSE
-0.2,2010,FALSE
-0.2,2010,FALSE
-0.2,2010,FALSE
-0.2,2010,FALSE
-0.2,2009,FALSE
-0.2,2009,FALSE
-0.2,2009,FALSE
-0.2,2008,FALSE
-0.2,2008,FALSE
-0.2,2008,FALSE
-0.2,2008,FALSE
-0.2,2007,FALSE
-0.2,2007,FALSE
-0.2,2007,FALSE
-0.2,2007,FALSE
-0.2,2007,FALSE
-0.2,2006,FALSE
-0.2,2006,FALSE
-0.3,2010,FALSE
-0.3,2010,FALSE
-0.3,2009,FALSE
-0.3,2009,FALSE
-0.3,2009,FALSE
-0.3,2008,FALSE
-0.3,2008,FALSE
-0.3,2008,FALSE
-0.3,2007,FALSE
-0.3,2007,FALSE
-0.3,2007,FALSE
-0.3,2007,FALSE
-0.3,2006,FALSE
-0.4,2010,FALSE
-0.4,2010,FALSE
-0.4,2010,FALSE
-0.4,2010,FALSE
-0.4,2010,FALSE
-0.4,2010,FALSE
-0.4,2009,FALSE
-0.4,2009,FALSE
-0.4,2009,FALSE
-0.4,2009,FALSE
-0.4,2009,FALSE
-0.4,2007,FALSE
-0.4,2007,FALSE
-0.4,2007,FALSE
-0.4,2006,FALSE
-0.4,2006,FALSE
-0.4,2006,FALSE
-0.4,2006,FALSE
-0.5,2009,FALSE
-0.5,2009,FALSE
-0.5,2008,FALSE
-0.5,2008,FALSE
-0.5,2008,FALSE
-0.5,2008,FALSE
-0.5,2008,FALSE
-0.5,2008,FALSE
-0.5,2006,FALSE
-0.5,2006,FALSE
-0.6,2010,FALSE
-0.6,2010,FALSE
-0.6,2009,FALSE
-0.6,2008,FALSE
-0.6,2008,FALSE
-0.6,2008,FALSE
-0.6,2008,FALSE
-0.6,2008,FALSE
-0.6,2008,FALSE
-0.6,2007,FALSE
-0.6,2006,FALSE
-0.6,2006,FALSE
-0.6,2006,FALSE
-0.7,2010,FALSE
-0.7,2009,FALSE
-0.7,2007,FALSE
-0.7,2007,FALSE
-0.7,2006,FALSE
-0.7,2006,FALSE
-0.7,2006,FALSE
-0.7,2006,FALSE
-0.8,2010,FALSE
-0.8,2009,FALSE
-0.8,2006,FALSE
-0.8,2006,FALSE
-0.8,2006,FALSE
-0.9,2010,FALSE
-0.9,2010,FALSE
-0.9,2009,FALSE
-0.9,2009,FALSE
-0.9,2009,FALSE
-0.9,2008,FALSE
-0.9,2008,FALSE
-1,2010,FALSE
-1,2009,FALSE
-1,2008,FALSE
-1,2007,FALSE
-1,2006,FALSE
-1,2006,FALSE
-1.1,2010,FALSE
-1.1,2009,FALSE
-1.1,2008,FALSE
-1.1,2006,FALSE
-1.2,2009,FALSE
-1.2,2009,FALSE
-1.2,2007,FALSE
-1.2,2007,FALSE
-1.3,2010,FALSE
-1.4,2010,FALSE
-1.4,2007,FALSE
-1.4,2007,FALSE
-1.9,2009,FALSE
-1.9,2008,FALSE
-2.1,2010,FALSE
-2.1,2007,FALSE
-2.4,2010,FALSE
2.8,2012,TRUE
1.1,2014,TRUE
1,2013,TRUE
1,2011,TRUE
0.9,2014,TRUE
0.9,2011,TRUE
0.8,2013,TRUE
0.8,2011,TRUE
0.8,2011,TRUE
0.8,2011,TRUE
0.8,2011,TRUE
0.7,2014,TRUE
0.7,2014,TRUE
0.7,2014,TRUE
0.7,2013,TRUE
0.6,2014,TRUE
0.6,2014,TRUE
0.6,2014,TRUE
0.6,2012,TRUE
0.6,2011,FALSE
0.5,2013,TRUE
0.5,2012,TRUE
0.5,2012,TRUE
0.5,2011,FALSE
0.4,2014,FALSE
0.4,2014,FALSE
0.4,2014,FALSE
0.4,2011,FALSE
0.3,2013,FALSE
0.3,2013,FALSE
0.3,2012,TRUE
0.3,2012,TRUE
0.3,2012,TRUE
0.3,2011,FALSE
0.2,2013,FALSE
0.2,2013,FALSE
0.2,2013,FALSE
0.2,2012,FALSE
0.2,2012,FALSE
0.2,2012,FALSE
0.2,2012,FALSE
0.2,2012,FALSE
0.2,2011,FALSE
0.2,2011,FALSE
0.2,2011,FALSE
0.1,2014,FALSE
0.1,2013,FALSE
0.1,2013,FALSE
0.1,2013,FALSE
0.1,2012,FALSE
0.1,2012,FALSE
0.1,2012,FALSE
0.1,2011,FALSE
0,2014,FALSE
0,2013,FALSE
0,2012,FALSE
0,2012,FALSE
0,2012,FALSE
0,2012,FALSE
0,2011,FALSE
0,2011,FALSE
0,2011,FALSE
0,2011,FALSE
0,2011,FALSE
-0.1,2014,FALSE
-0.1,2014,FALSE
-0.1,2014,FALSE
-0.1,2014,FALSE
-0.1,2014,FALSE
-0.1,2013,FALSE
-0.1,2013,FALSE
-0.1,2013,FALSE
-0.1,2013,FALSE
-0.1,2013,FALSE
-0.1,2012,FALSE
-0.1,2011,FALSE
-0.1,2011,FALSE
-0.1,2011,FALSE
-0.2,2014,FALSE
-0.2,2014,FALSE
-0.2,2013,FALSE
-0.2,2012,FALSE
-0.2,2012,FALSE
-0.2,2012,FALSE
-0.2,2011,FALSE
-0.2,2011,FALSE
-0.2,2011,FALSE
-0.3,2013,FALSE
-0.3,2013,FALSE
-0.3,2013,FALSE
-0.3,2013,FALSE
-0.3,2013,FALSE
-0.3,2012,FALSE
-0.3,2012,FALSE
-0.3,2012,FALSE
-0.3,2011,FALSE
-0.3,2011,FALSE
-0.3,2011,FALSE
-0.4,2014,FALSE
-0.4,2014,FALSE
-0.4,2013,FALSE
-0.4,2012,FALSE
-0.4,2012,FALSE
-0.4,2011,FALSE
-0.4,2011,FALSE
-0.4,2011,FALSE
-0.4,2011,FALSE
-0.5,2014,FALSE
-0.5,2014,FALSE
-0.5,2014,FALSE
-0.5,2014,FALSE
-0.5,2014,FALSE
-0.5,2014,FALSE
-0.5,2013,FALSE
-0.5,2013,FALSE
-0.5,2013,FALSE
-0.5,2011,FALSE
-0.6,2014,FALSE
-0.6,2014,FALSE
-0.6,2013,FALSE
-0.6,2013,FALSE
-0.6,2012,FALSE
-0.6,2011,FALSE
-0.6,2011,FALSE
-0.6,2011,FALSE
-0.6,2011,FALSE
-0.6,2011,FALSE
-0.7,2014,FALSE
-0.7,2014,FALSE
-0.7,2014,FALSE
-0.7,2014,FALSE
-0.7,2014,FALSE
-0.7,2014,FALSE
-0.7,2014,FALSE
-0.7,2014,FALSE
-0.7,2014,FALSE
-0.7,2013,FALSE
-0.7,2012,FALSE
-0.7,2012,FALSE
-0.7,2011,FALSE
-0.8,2013,FALSE
-0.8,2013,FALSE
-0.9,2014,FALSE
-0.9,2014,FALSE
-0.9,2012,FALSE
-0.9,2011,FALSE
-0.9,2011,FALSE
-0.9,2011,FALSE
-0.9,2011,FALSE
-0.9,2011,FALSE
-1,2012,FALSE
-1,2012,FALSE
-1.1,2014,FALSE
-1.1,2013,FALSE
-1.1,2012,FALSE
-1.1,2011,FALSE
-1.2,2014,FALSE
-1.2,2013,FALSE
-1.3,2014,FALSE
-1.3,2014,FALSE
-1.3,2012,FALSE
-1.3,2012,FALSE
-1.4,2011,FALSE
-1.7,2013,FALSE
-1.7,2013,FALSE
-1.7,2012,FALSE
-1.7,2011,FALSE
-1.8,2012,FALSE
-2,2014,FALSE
-2,2012,FALSE
-2.3,2013,FALSE
5.2,2016,TRUE
2.2,2018,TRUE
2.1,2018,TRUE
1.8,2016,TRUE
1.7,2018,TRUE
1.6,2017,TRUE
1.6,2016,TRUE
1.5,2018,TRUE
1.4,2018,TRUE
1.4,2016,TRUE
1.3,2017,TRUE
1.2,2016,TRUE
1.1,2018,TRUE
1,2017,TRUE
0.9,2017,TRUE
0.9,2016,TRUE
0.9,2015,TRUE
0.8,2018,TRUE
0.8,2017,TRUE
0.8,2017,TRUE
0.8,2017,TRUE
0.8,2015,TRUE
0.6,2018,TRUE
0.6,2015,TRUE
0.5,2018,TRUE
0.5,2017,TRUE
0.5,2015,FALSE
0.5,2015,FALSE
0.4,2017,TRUE
0.4,2017,TRUE
0.4,2016,TRUE
0.4,2015,FALSE
0.3,2018,FALSE
0.3,2018,FALSE
0.3,2017,TRUE
0.3,2016,TRUE
0.3,2016,TRUE
0.3,2015,FALSE
0.2,2018,FALSE
0.2,2018,FALSE
0.2,2017,FALSE
0.2,2016,FALSE
0.2,2016,FALSE
0.2,2015,FALSE
0.1,2015,FALSE
0.1,2015,FALSE
0.1,2015,FALSE
0.1,2015,FALSE
0.1,2015,FALSE
0,2018,FALSE
0,2018,FALSE
0,2017,FALSE
0,2017,FALSE
0,2017,FALSE
0,2017,FALSE
0,2016,FALSE
0,2015,FALSE
0,2015,FALSE
0,2015,FALSE
0,2015,FALSE
-0.1,2018,FALSE
-0.1,2018,FALSE
-0.1,2018,FALSE
-0.1,2018,FALSE
-0.1,2017,FALSE
-0.1,2017,FALSE
-0.1,2017,FALSE
-0.1,2017,FALSE
-0.1,2017,FALSE
-0.1,2017,FALSE
-0.1,2017,FALSE
-0.1,2016,FALSE
-0.1,2016,FALSE
-0.1,2016,FALSE
-0.1,2015,FALSE
-0.2,2018,FALSE
-0.2,2018,FALSE
-0.2,2018,FALSE
-0.2,2018,FALSE
-0.2,2018,FALSE
-0.2,2017,FALSE
-0.2,2016,FALSE
-0.2,2016,FALSE
-0.2,2016,FALSE
-0.2,2015,FALSE
-0.2,2015,FALSE
-0.2,2015,FALSE
-0.3,2018,FALSE
-0.3,2018,FALSE
-0.3,2018,FALSE
-0.3,2018,FALSE
-0.3,2017,FALSE
-0.3,2017,FALSE
-0.3,2017,FALSE
-0.3,2016,FALSE
-0.3,2016,FALSE
-0.3,2016,FALSE
-0.3,2016,FALSE
-0.3,2016,FALSE
-0.3,2015,FALSE
-0.4,2018,FALSE
-0.4,2018,FALSE
-0.4,2017,FALSE
-0.4,2017,FALSE
-0.4,2017,FALSE
-0.4,2017,FALSE
-0.4,2017,FALSE
-0.4,2016,FALSE
-0.4,2016,FALSE
-0.4,2016,FALSE
-0.4,2015,FALSE
-0.4,2015,FALSE
-0.5,2018,FALSE
-0.5,2017,FALSE
-0.5,2017,FALSE
-0.5,2017,FALSE
-0.5,2017,FALSE
-0.5,2016,FALSE
-0.5,2015,FALSE
-0.5,2015,FALSE
-0.5,2015,FALSE
-0.5,2015,FALSE
-0.5,2015,FALSE
-0.5,2015,FALSE
-0.6,2018,FALSE
-0.6,2018,FALSE
-0.6,2017,FALSE
-0.6,2017,FALSE
-0.6,2016,FALSE
-0.6,2015,FALSE
-0.7,2018,FALSE
-0.7,2018,FALSE
-0.7,2017,FALSE
-0.7,2017,FALSE
-0.7,2017,FALSE
-0.7,2016,FALSE
-0.7,2016,FALSE
-0.7,2016,FALSE
-0.7,2015,FALSE
-0.7,2015,FALSE
-0.7,2015,FALSE
-0.8,2018,FALSE
-0.8,2017,FALSE
-0.8,2017,FALSE
-0.8,2016,FALSE
-0.8,2016,FALSE
-0.8,2015,FALSE
-0.8,2015,FALSE
-0.8,2015,FALSE
-0.8,2015,FALSE
-0.9,2018,FALSE
-0.9,2017,FALSE
-0.9,2017,FALSE
-0.9,2016,FALSE
-1,2018,FALSE
-1,2017,FALSE
-1,2016,FALSE
-1,2016,FALSE
-1,2015,FALSE
-1.1,2018,FALSE
-1.1,2017,FALSE
-1.1,2016,FALSE
-1.2,2017,FALSE
-1.2,2017,FALSE
-1.2,2016,FALSE
-1.2,2016,FALSE
-1.2,2016,FALSE
-1.2,2016,FALSE
-1.3,2018,FALSE
-1.3,2015,FALSE
-1.3,2015,FALSE
-1.4,2016,FALSE
-1.4,2015,FALSE
-1.5,2015,FALSE
-1.6,2018,FALSE
-1.6,2018,FALSE
-1.6,2016,FALSE
-1.7,2016,FALSE
